method	path	controller	authentication	tenant_scope_evidence	authorization_evidence	mapping_conditions	deprecated	version	owner	usage	eol
DELETE	/api/approval-policies/{id}	ooo.klae.connex.backend.controllers.ApprovalPolicyController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	ApprovalPolicyService#delete:DOCUMENT_MANAGE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/attachments/{id}	ooo.klae.connex.backend.controllers.AttachmentController#deleteAttachment	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AttachmentService#delete:ATTACHMENT_DELETE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/attachments/{id}/quarantine	ooo.klae.connex.backend.controllers.AttachmentQuarantineController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AttachmentQuarantineService#delete:ATTACHMENT_QUARANTINE_MANAGE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/attachments/{id}/tags/{tagId}	ooo.klae.connex.backend.controllers.AttachmentController#removeTagFromAttachment	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AttachmentService#removeTag:ATTACHMENT_CREATE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/auth/webauthn/credentials/{credentialId}	ooo.klae.connex.backend.controllers.WebAuthnController#deleteCredential	authenticated	no MVC workspace resolution; domain scope if applicable	AuditService#recordFailureScoped:domain authorization; AuthService#getCurrentUser:domain authorization; SessionSecurityService#requireRecentAuthentication:domain authorization; WebAuthnService#delete:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/campaigns/{id}	ooo.klae.connex.backend.controllers.CampaignController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	CAMPAIGN_MANAGE; CampaignService#delete:CAMPAIGN_MANAGE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/comments/{commentId}	ooo.klae.connex.backend.controllers.RecordCommentController#deleteComment	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	RecordCommentService#deleteComment:COMMENT_CREATE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/comments/{commentId}/reactions/{reaction}	ooo.klae.connex.backend.controllers.RecordCommentController#removeReaction	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	COMMENT_CREATE; RecordCommentService#removeReaction:COMMENT_CREATE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/companies/{id}/tags/{tagId}	ooo.klae.connex.backend.controllers.CompanyController#removeTagFromCompany	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	CompanyService#removeTag:COMPANY_UPDATE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/custom-fields/{id}	ooo.klae.connex.backend.controllers.CustomFieldController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	CustomFieldDefinitionService#delete:CUSTOM_FIELD_MANAGE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/dashboard-layout	ooo.klae.connex.backend.controllers.DashboardLayoutController#reset	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	DashboardLayoutService#resetLayout:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/deals/{dealId}/documents/{documentId}	ooo.klae.connex.backend.controllers.DealDocumentController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	DealDocumentService#delete:DEAL_UPDATE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/deals/{dealId}/line-items/{itemId}	ooo.klae.connex.backend.controllers.DealLineItemController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	DealLineItemService#delete:DEAL_UPDATE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/deals/{id}	ooo.klae.connex.backend.controllers.DealController#deleteDeal	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	DealService#delete:DEAL_DELETE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/deals/{id}/people/{personId}	ooo.klae.connex.backend.controllers.DealController#removePersonFromDeal	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	DealService#removePerson:DEAL_UPDATE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/deals/{id}/tags/{tagId}	ooo.klae.connex.backend.controllers.DealController#removeTagFromDeal	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	DealService#removeTag:DEAL_UPDATE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/delivery/connectors/{connector}	ooo.klae.connex.backend.controllers.ConnectorConfigController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	ConnectorConfigService#delete:WORKSPACE_SETTINGS	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/delivery/providers/{channel}	ooo.klae.connex.backend.controllers.DeliveryProviderConfigController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	DeliveryProviderConfigService#delete:WORKSPACE_SETTINGS	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/disqualification-reasons/{id}	ooo.klae.connex.backend.controllers.DisqualificationReasonController#archive	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	DisqualificationReasonService#archive:WORKSPACE_SETTINGS	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/document-templates/{id}	ooo.klae.connex.backend.controllers.DocumentTemplateController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	DocumentTemplateService#delete:DOCUMENT_MANAGE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/goals/{id}	ooo.klae.connex.backend.controllers.GoalController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	GOAL_MANAGE; GoalService#delete:GOAL_MANAGE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/login/oauth2/code/*	OAuth2LoginAuthenticationFilter	permitAll; OAuth state/code verification	no MVC workspace resolution; handler-owned scope	framework authentication protocol	filter/handshake route; CSRF policy and protocol validation apply	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/login/saml2/sso/{registrationId}	Saml2WebSsoAuthenticationFilter	permitAll; SSO enabled; signed solicited response	no MVC workspace resolution; handler-owned scope	framework authentication protocol	filter/handshake route; CSRF policy and protocol validation apply	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/notes/{id}	ooo.klae.connex.backend.controllers.NoteController#deleteNote	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	NoteService#delete:NOTE_DELETE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/oauth2/authorization/{registrationId}	OAuth2AuthorizationRequestRedirectFilter	permitAll; OAuth enabled	no MVC workspace resolution; handler-owned scope	framework authentication protocol	filter/handshake route; CSRF policy and protocol validation apply	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/orgs/{orgId}	ooo.klae.connex.backend.controllers.TenantTeardownController#teardownOrganization	authenticated	explicit lifecycle organization/workspace authorization	AuthService#getCurrentUser:domain authorization; TenantTeardownService#teardownOrganization:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/orgs/{orgId}/allowed-domains	ooo.klae.connex.backend.controllers.OrgAllowedDomainController#remove	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AuthService#getCurrentUser:domain authorization; OrgAllowedDomainService#removeDomain:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/orgs/{orgId}/members/{userId}	ooo.klae.connex.backend.controllers.OrgMemberController#removeMember	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AuthService#getCurrentUser:domain authorization; OrgMemberService#removeMember:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/orgs/{orgId}/workspaces/{workspaceId}	ooo.klae.connex.backend.controllers.TenantTeardownController#teardownWorkspace	authenticated	explicit lifecycle organization/workspace authorization	AuthService#getCurrentUser:domain authorization; TenantTeardownService#teardownWorkspace:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/persons/{id}/connections/{targetId}	ooo.klae.connex.backend.controllers.PersonController#removeConnection	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	ConnectionService#removeConnection:PERSON_UPDATE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/persons/{id}/tags/{tagId}	ooo.klae.connex.backend.controllers.PersonController#removeTagFromPerson	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	PersonService#removeTag:PERSON_UPDATE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/pipelines/stages/{id}	ooo.klae.connex.backend.controllers.PipelineController#deleteStage	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	PipelineService#deleteStage:PIPELINE_MANAGE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/pipelines/{id}	ooo.klae.connex.backend.controllers.PipelineController#deletePipeline	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	PipelineService#deletePipeline:PIPELINE_MANAGE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/products/{id}	ooo.klae.connex.backend.controllers.ProductController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	ProductService#delete:PRODUCT_MANAGE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/qualification-criteria/{id}	ooo.klae.connex.backend.controllers.QualificationCriterionController#archive	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	QualificationCriterionService#archive:WORKSPACE_SETTINGS	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/reports/{id}	ooo.klae.connex.backend.controllers.ReportController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	REPORT_DELETE; ReportService#delete:REPORT_DELETE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/reports/{id}/snapshots/{snapshotId}	ooo.klae.connex.backend.controllers.ReportController#deleteSnapshot	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	REPORT_DELETE; ReportService#deleteSnapshot:REPORT_DELETE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/reports/{reportId}/schedule	ooo.klae.connex.backend.controllers.ScheduleController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	REPORT_UPDATE; ScheduleService#delete:REPORT_UPDATE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/rules/{id}	ooo.klae.connex.backend.controllers.RuleController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	RuleService#delete:RULE_MANAGE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/saved-views/defaults/{recordType}	ooo.klae.connex.backend.controllers.SavedViewController#resetDefault	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	SavedViewService#resetDefault:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/saved-views/{id:\d+}	ooo.klae.connex.backend.controllers.SavedViewController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	SavedViewService#delete:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/saved-views/{id:\d+}/pin	ooo.klae.connex.backend.controllers.SavedViewController#unpin	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	SavedViewService#unpin:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/sequences/{id}	ooo.klae.connex.backend.controllers.SequenceController#archive	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	SEQUENCE_MANAGE; SequenceService#archive:SEQUENCE_MANAGE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[] / feature=connex.sequences:[enabled]=true;matchIfMissing=false	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/shares/{type}/{id}/{workspaceId}	ooo.klae.connex.backend.controllers.ShareController#unshare	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	ShareService#unshare:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[] / feature=:[connex.sharing.enabled]=true;matchIfMissing=true	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/suppressions/{id}	ooo.klae.connex.backend.controllers.SuppressionController#remove	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	CONSENT_MANAGE; SuppressionService#remove:CONSENT_MANAGE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/tags/{id}	ooo.klae.connex.backend.controllers.TagController#deleteTag	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	TagService#delete:TAG_MANAGE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/tasks/{id}	ooo.klae.connex.backend.controllers.TaskController#deleteTask	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	TaskService#delete:TASK_DELETE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/teams/{id:\d+}/members/{userId:\d+}	ooo.klae.connex.backend.controllers.TeamController#removeMember	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	TEAM_MANAGE; TeamService#removeMember:TEAM_MANAGE	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/users/{id}	ooo.klae.connex.backend.controllers.UserController#deleteUser	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	UserService#delete:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/workspaces/{id}/allowed-domains	ooo.klae.connex.backend.controllers.WorkspaceController#removeAllowedDomain	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AllowedDomainService#removeDomain:domain authorization; AuthService#getCurrentUser:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/workspaces/{id}/invite-links/{linkId}	ooo.klae.connex.backend.controllers.WorkspaceController#revokeInviteLink	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AuthService#getCurrentUser:domain authorization; InviteLinkService#revokeLink:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/workspaces/{id}/invites/{inviteId}	ooo.klae.connex.backend.controllers.WorkspaceController#revokeInvite	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AuthService#getCurrentUser:domain authorization; InviteService#revokeInvite:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/workspaces/{id}/mail-config	ooo.klae.connex.backend.controllers.WorkspaceMailConfigController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AuthService#getCurrentUser:domain authorization; WorkspaceMailConfigService#deleteConfig:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/workspaces/{id}/members/{userId}	ooo.klae.connex.backend.controllers.WorkspaceController#removeMember	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AuthService#getCurrentUser:domain authorization; WorkspaceService#removeMember:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/api/workspaces/{workspaceId}/roles/{roleId}	ooo.klae.connex.backend.controllers.RoleController#delete	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	AuthService#getCurrentUser:domain authorization; RoleService#deleteRole:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/saml2/authenticate	Saml2WebSsoAuthenticationRequestFilter	permitAll; SSO enabled	no MVC workspace resolution	SAML relying-party registration	Spring default; registrationId path variable or query parameter; CSRF policy applies	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
DELETE	/saml2/authenticate/{registrationId}	Saml2WebSsoAuthenticationRequestFilter	permitAll; SSO enabled	no MVC workspace resolution	SAML relying-party registration	Spring default; registrationId path variable or query parameter; CSRF policy applies	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
GET	/api/account/connections	ooo.klae.connex.backend.controllers.ProviderConnectionController#getConnections	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	ProviderConnectionService#getForCurrentUser:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
GET	/api/account/connections/callback/{provider}	ooo.klae.connex.backend.controllers.ProviderConnectionController#callback	authenticated	MVC workspace resolution attempted for authenticated User; effective scope delegated	ProviderConnectionService#completeCallback:domain authorization	params=[];headers=[];version=;consumes=[];produces=[] / params=[];headers=[];version=;consumes=[];produces=[]	false	unversioned	Backend maintainers	not measured; see API_SURFACE.md	not scheduled
